id,created_at,closed_at,status,project_code,project_name,station_name,voltage_level,camera_location,fault_type_code,fault_type,description,source_type,source_record_key
3,2022-08-16,2022-08-16,closed,unified,统一平台,220kV睦田变,220kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检,import_worklog,unified:import_worklog:cfa6b48d10d0e86926b4b9e5dfd6526e28eed3d7e145438642ec8a173bd6515f
4,2022-08-17,2022-08-17,closed,unified,统一平台,220kV河阳变,220kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检,import_worklog,unified:import_worklog:60d9e727f979ff99942adf236eb97f00d177a5aafea56b52e862fdae4617b848
5,2022-08-30,2022-08-30,closed,unified,统一平台,110kV水阁变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检,import_worklog,unified:import_worklog:e4c7871ee21b00f251d485ed03b7203933f0b0a19c1cb8352be87a6e8bd2a387
6,2022-08-30,2022-08-30,closed,unified,统一平台,110kV龙石变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检,import_worklog,unified:import_worklog:148b33c584bcb47d3b5abfefa6049d0641aebb8b6047e9d0f616ef51044bc48a
7,2022-08-31,2022-08-31,closed,unified,统一平台,110kV碧湖变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检,import_worklog,unified:import_worklog:907d0b047b62b9f1d85714e4b9e71a95e8c9efdb8f71f00b73467a5497027108
8,2022-08-31,2022-08-31,closed,unified,统一平台,220kV河阳变,220kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检,import_worklog,unified:import_worklog:2b274130b52b43a8dbc230c3274816a06a9077613f66bf3dc086fc65a19779bb
9,2022-09-01,2022-09-01,closed,unified,统一平台,220kV遂昌变,220kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检,import_worklog,unified:import_worklog:fd5081191703538e8c491812f86721699222109f149f5bfa12174fd36dd7dbf6
10,2022-09-05,2022-09-05,closed,unified,统一平台,220kV河阳变,220kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检,import_worklog,unified:import_worklog:8c67309d62c50055370a326b29c7843593d98983f1ddaf7f1feacf2c34135a23
11,2022-09-06,2022-09-06,closed,unified,统一平台,110kV港头变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检,import_worklog,unified:import_worklog:b1926a96c9841e6868a34e1cb4f71aaf374c7cb8c224839dc75e95751789d302
12,2022-09-06,2022-09-06,closed,unified,统一平台,110kV东源变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检,import_worklog,unified:import_worklog:ce07f8a37574c9d099fe3ab523d215c4f244b053fa8a38d0271252796cc50983
