bucket,id,created_at,status,project_code,project_name,station_name,voltage_level,camera_location,fault_type_code,fault_type,description
obvious_delete,3,2022-08-16,closed,unified,统一平台,220kV睦田变,220kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,4,2022-08-17,closed,unified,统一平台,220kV河阳变,220kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,5,2022-08-30,closed,unified,统一平台,110kV水阁变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,6,2022-08-30,closed,unified,统一平台,110kV龙石变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,7,2022-08-31,closed,unified,统一平台,110kV碧湖变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,8,2022-08-31,closed,unified,统一平台,220kV河阳变,220kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,9,2022-09-01,closed,unified,统一平台,220kV遂昌变,220kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,10,2022-09-05,closed,unified,统一平台,220kV河阳变,220kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,11,2022-09-06,closed,unified,统一平台,110kV港头变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,12,2022-09-06,closed,unified,统一平台,110kV东源变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,13,2022-09-07,closed,unified,统一平台,110kV景宁变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,14,2022-09-08,closed,unified,统一平台,220kV松阳变,220kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,15,2022-09-13,closed,unified,统一平台,110kV岩泉变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,16,2022-09-13,closed,unified,统一平台,110kV碧湖变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,17,2022-09-14,closed,unified,统一平台,110kV庆元变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,18,2022-09-19,closed,unified,统一平台,110kV海潮变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,19,2022-09-20,closed,unified,统一平台,220kV遂昌变,220kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,20,2022-09-21,closed,unified,统一平台,110kV云和变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,21,2022-09-22,closed,unified,统一平台,110kV缙云变,110kV,,INSPECTION_MAINTENANCE,巡检维护,图像监控设备巡检
obvious_delete,316,2025-04-07,closed,unified,统一平台,220kV青田变,220kV,,INSPECTION_MAINTENANCE,巡检维护,智能巡视后续工作配置交换机等
obvious_delete,388,2026-01-26,closed,inspection,智慧巡视,220kV金亭变,220kV,,INSPECTION_MAINTENANCE,巡检维护,智能巡视辅控系统消缺 | 地点: 莲都
obvious_delete,389,2026-01-27,closed,inspection,智慧巡视,220kV鹤溪变,220kV,,INSPECTION_MAINTENANCE,巡检维护,智能巡视辅控系统消缺 | 地点: 景宁
obvious_delete,84,2023-04-24,closed,unified,统一平台,110kV滨江变,110kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,85,2023-04-26,closed,unified,统一平台,220kV枫树变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,86,2023-05-08,closed,unified,统一平台,220kV青田变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
obvious_delete,87,2023-05-10,closed,unified,统一平台,220kV睦田变,220kV,,INSTALLATION_DEBUG,施工/调试/接入,图像监控系统网络优化提升
