fault_id,closed_date,station_name,fault_type,equipment_type,equipment_quantity,is_formal_registered,suggested_quantity,quantity_basis,camera_name_mention_count,confidence,handler_note,camera_name_mentions
413,2026/4/14,110kV西屏变,摄像机/球机/枪机故障 | 光纤收发器异常,摄像机,1,TRUE,1,formal_equipment_quantity,1,high,摄像机故障更换,摄像机故障更换
412,2026/4/14,220kV枫树变,摄像机/球机/枪机故障,摄像机,1,TRUE,1,camera_name_mentions,1,medium,更换故障摄像机,更换故障摄像机
410,2026/4/10,110kV云和变,摄像机/球机/枪机故障,摄像机,1,FALSE,1,camera_name_mentions,1,medium,大门-5#球机故障更换 | 地点: 云和,大门-5#球机故障更换
409,2026/4/9,110kV雁门变,摄像机/球机/枪机故障,摄像机,1,FALSE,1,camera_name_mentions,1,medium,110kV场地西北侧球机更换电源接口，电容器场地南侧-4#球机故障更换 | 地点: 缙云,110kV场地西北侧球机更换电源接口，电容器场地南侧-4#球机故障更换
407,2026/4/2,110kV延庆变,网线/尾纤/链路异常,摄像机,1,FALSE,1,camera_name_mentions,1,medium,110kV场地东侧1#摄像机重新放网线；110kV场地西侧2#摄像机水晶头重做；电容器室北侧9#摄像机故障更换 | 地点: 松阳,110kV场地东侧1#摄像机重新放网线；110kV场地西侧2#摄像机水晶头重做；电容器室北侧9#摄像机故障更换
406,2026/4/1,110kV黄南变,摄像机/球机/枪机故障,摄像机,1,FALSE,1,camera_name_mentions,1,medium,10kV开关室7#摄像机故障更换 | 地点: 松阳,10kV开关室7#摄像机故障更换
405,2026/3/31,110kV侨乡变,摄像机/球机/枪机故障,摄像机,1,FALSE,1,camera_name_mentions,1,medium,2#主变南侧2#摄像机故障更换 | 地点: 青田,2#主变南侧2#摄像机故障更换
401,2026/3/23,220kV仙宫变,摄像机/球机/枪机故障,摄像机,1,FALSE,1,camera_name_mentions,1,medium,1-2#电容器东侧32#摄像机故障更换 | 地点: 云和,1-2#电容器东侧32#摄像机故障更换
400,2026/3/19,110kV缙云变,摄像机/球机/枪机故障,摄像机,1,FALSE,1,camera_name_mentions,1,medium,1#主变北侧8#摄像机故障更换 | 地点: 缙云,1#主变北侧8#摄像机故障更换
399,2026/3/18,220kV枫树变,摄像机/球机/枪机故障,摄像机,1,FALSE,1,camera_name_mentions,1,medium,就地继保室外墙8#摄像机故障更换 | 地点: 莲都,就地继保室外墙8#摄像机故障更换
398,2026/3/17,220kV仙都变,摄像机/球机/枪机故障,摄像机,1,FALSE,1,camera_name_mentions,1,medium,2#主变西南侧10#摄像机故障更换 | 地点: 缙云,2#主变西南侧10#摄像机故障更换
396,2026/2/28,110kV碧湖变,摄像机/球机/枪机故障,摄像机,2,FALSE,1,camera_name_mentions,1,medium,主控楼楼顶南侧6#摄像机、主控楼楼顶东南侧7#摄像机更换 | 地点: 莲都,主控楼楼顶南侧6#摄像机、主控楼楼顶东南侧7#摄像机更换
395,2026/2/5,110kV侨乡变,摄像机/球机/枪机故障,摄像机,1,FALSE,1,camera_name_mentions,1,medium,3#主变东南侧1#摄像机故障更换 | 地点: 青田,3#主变东南侧1#摄像机故障更换
394,2026/2/4,110kV缙云变,摄像机/球机/枪机故障,,0,FALSE,1,camera_name_mentions,1,medium,1#主变北侧8#摄像机故障更换未恢复，怀疑光纤中断 | 地点: 缙云,1#主变北侧8#摄像机故障更换未恢复，怀疑光纤中断
393,2026/2/3,110kV高湖变,摄像机/球机/枪机故障,摄像机,1,FALSE,1,camera_name_mentions,1,medium,2#主变北侧摄像机故障更换 | 地点: 青田,2#主变北侧摄像机故障更换
392,2026/2/2,110kV白龙变,摄像机/球机/枪机故障,摄像机,2,FALSE,1,camera_name_mentions,1,medium,110kV场地南侧1#摄像机、110kV场地南侧2#摄像机故障更换 | 地点: 云和,110kV场地南侧1#摄像机、110kV场地南侧2#摄像机故障更换
