fault_id,project_code,station_id,station_name,created_at,closed_at,current_camera_id,current_camera_slot_id,current_camera_location_text,source_text,parsed_location_hint,derived_location_hint,match_status,target_slot_id,target_camera_id,target_slot_code,target_slot_location_desc,target_camera_location_desc,target_channel_number,target_project_device_code,target_score,ambiguous_options
1,unified,66,110kV水阁变,2022/8/4,2022/8/4,,,,水阁变图像监控3#摄像头维修,,,unresolved,,,,,,,,,
2,unified,32,110kV海潮变,2022/8/5,2022/8/5,,,,海潮变图像监控110kV开关室11#摄像头维修,,海潮变图像监控110kV开关室,unresolved,,,,,,,,,
3,unified,76,220kV睦田变,2022/8/16,2022/8/16,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
4,unified,67,220kV河阳变,2022/8/17,2022/8/17,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
5,unified,66,110kV水阁变,2022/8/30,2022/8/30,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
6,unified,72,110kV龙石变,2022/8/30,2022/8/30,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
7,unified,36,110kV碧湖变,2022/8/31,2022/8/31,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
8,unified,67,220kV河阳变,2022/8/31,2022/8/31,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
9,unified,81,220kV遂昌变,2022/9/1,2022/9/1,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
10,unified,67,220kV河阳变,2022/9/5,2022/9/5,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
11,unified,49,110kV港头变,2022/9/6,2022/9/6,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
12,unified,45,110kV东源变,2022/9/6,2022/9/6,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
13,unified,9,110kV景宁变,2022/9/7,2022/9/7,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
14,unified,79,220kV松阳变,2022/9/8,2022/9/8,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
15,unified,31,110kV岩泉变,2022/9/13,2022/9/13,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
16,unified,36,110kV碧湖变,2022/9/13,2022/9/13,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
17,unified,6,110kV庆元变,2022/9/14,2022/9/14,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
18,unified,32,110kV海潮变,2022/9/19,2022/9/19,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
19,unified,81,220kV遂昌变,2022/9/20,2022/9/20,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
20,unified,1,110kV云和变,2022/9/21,2022/9/21,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
21,unified,23,110kV缙云变,2022/9/22,2022/9/22,,,,图像监控设备巡检,,,unresolved,,,,,,,,,
22,unified,67,220kV河阳变,2022/9/26,2022/9/26,,,,图像监控设备故障处理,,,unresolved,,,,,,,,,
23,unified,72,110kV龙石变,2022/9/27,2022/9/27,,,,图像监控设备故障处理,,,unresolved,,,,,,,,,
24,unified,32,110kV海潮变,2022/9/28,2022/9/28,,,,图像监控设备故障处理,,,unresolved,,,,,,,,,
